,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,corenet,Python
22,cups,C
23,darwin-libplatform,C
24,darwin-libpthread,C
25,darwin-xnu,C
26,device-management,
27,dnikit,Python
28,example-package-dealer,Swift
29,example-package-deckofplayingcards,Swift
30,example-package-figlet,Swift
31,example-package-fisheryates,Swift
32,example-package-playingcard,Swift
33,FHIRModels,Swift
34,foundationdb,C++
35,fstools,C
36,game-center-tools,Python
37,GCGC,Jupyter Notebook
38,homebrew-apple,Ruby
39,HomeKitADK,C
40,learning-compressible-subspaces,Python
41,learning-subspaces,Python
42,live-caller-id-lookup-example,Swift
43,llvm-monorepo-root,
44,llvm-project-v5,C++
45,llvm-project-v5-split,C++
46,MaterialX,
47,ml-4m,Python
48,ml-afv,Python
49,ml-agm,Python
50,ml-aim,Python
51,ml-all-pairs,Python
52,ml-ane-transformers,Python
53,ml-aspanformer,Python
54,ml-aura,Python
55,ml-autofocusformer,Python
56,ml-autofocusformer-segmentation,Python
57,ml-batchquant,Python
58,ml-behavioral-testing-for-mt,
59,ml-calibration,Jupyter Notebook
60,ml-capsules-inverted-attention-routing,Python
61,ml-cifar-10-faster,Python
62,ml-code-switched-speech-translation,Python
63,ml-codeswitching-translations,
64,ml-collegial-ensembles,Python
65,ml-core,Python
66,ml-covid-mobility,R
67,ml-cread,Python
68,ml-cvnets,Python
69,ml-cvpr2019-swd,Python
70,ml-dab,Python
71,ml-data-parameters,Python
72,ml-delphi,
73,ml-destseg,Python
74,ml-diffusion-alignment-gflownet,Python
75,ml-direct2.5,Python
76,ml-dms-dataset,Python
77,ml-dprecs,Jupyter Notebook
78,ml-dr,Python
79,ml-duet,Python
80,ml-entity-deduction-arena,Python
81,ml-entropy-reconstruction,Python
82,ml-envmapnet,Python
83,ml-equivariant-neural-rendering,Jupyter Notebook
84,ml-facelit,Python
85,ml-famae,Python
86,ml-fastvit,Python
87,ml-fct,Python
88,ml-ferret,Python
89,ml-finerecon,Python
90,ml-flair,Jupyter Notebook
91,ml-gaudi,
92,ml-gendered-translation,Ruby
93,ml-gmpi,Python
94,ml-gsn,Python
95,ml-hd-gist,Python
96,ml-heart-rate-models,Python
97,ml-hierarchical-confusion-matrix,TypeScript
98,ml-hugs,Python
99,ml-hypersim,Python
100,ml-interspeech2022-phi_rtn,
101,ml-jointnet,Python
102,ml-key-retrieval-code-tasks,Python
103,ml-keyframer,JavaScript
104,ml-kge,Python
105,ml-knowledge-conflicts,Python
106,ml-live-pose,
107,ml-llarp,Python
108,ml-lucid-datagen,Python
109,ml-mdm,Python
110,ml-mgie,Python
111,ml-mia-bench,Jupyter Notebook
112,ml-MixupMP,Python
113,ml-mkqa,Python
114,ml-mobileclip,Python
115,ml-mobileone,Swift
116,ml-mofi,Python
117,ml-multiple-futures-prediction,Python
118,ml-mycelium,JavaScript
119,ml-ncg,Python
120,ml-neilf,Python
121,ml-neilfpp,Python
122,ml-neuman,Python
123,ml-no-token-left-behind,Jupyter Notebook
124,ml-np-rasp,Python
125,ml-nvas3d,Python
126,ml-ogen,Python
127,ml-pgdvs,Python
128,ml-planner,Python
129,ml-pointconvformer,Python
130,ml-pointersect,Python
131,ml-probabilistic-attention,Python
132,ml-projunit,Python
133,ml-qrecc,Python
134,ml-quant,Python
135,ml-recurrent-drafter,Python
136,ml-reed,Python
137,ml-rlgrad,Python
138,ml-robust-expert-augmentations,Python
139,ml-rpm-bench,Python
140,ml-sad,Python
141,ml-sampleplan,Python
142,ml-selfcond,Python
143,ml-shuffling-amplification,Python
144,ml-sigma-reparam,Python
145,ml-sigmoid-attention,Python
146,ml-slowfast-llava,Python
147,ml-spatial-librispeech,
148,ml-spin,Python
149,ml-stable-diffusion,Python
150,ml-stabledreamer,
151,ml-stuttering-events-dataset,Python
152,ml-superposition-prompting,Python
153,ml-symphony,Svelte
154,ml-tic-clip,Python
155,ml-toad,Python
156,ml-tract,Python
157,ml-transcript-translation-consistency-ratings,
158,ml-translate-vis,TypeScript
159,ml-tree-dst,Python
160,ml-tune-mode-convbn,Python
161,ml-tweak,Python
162,ml-upscale,Jupyter Notebook
163,ml-uwac,Python
164,ml-veclip,Jupyter Notebook
165,ml-vfi-smiff,Python
166,ml-vfm-kt,
167,ml-vision-transformers-ane,Python
168,music-feed-examples,Java
169,openjdk,Java
170,password-manager-resources,JavaScript
171,pfl-research,Jupyter Notebook
172,pkl,Java
173,pkl-evolution,
174,pkl-go,Go
175,pkl-go-examples,Go
176,pkl-intellij,Kotlin
177,pkl-jvm-examples,Groovy
178,pkl-k8s,Pkl
179,pkl-k8s-examples,
180,pkl-lang.org,JavaScript
181,pkl-lsp,Kotlin
182,pkl-neovim,Scheme
183,pkl-package-docs,Kotlin
184,pkl-pantry,Pkl
185,pkl-project-commons,
186,pkl-spring,Java
187,pkl-swift,Swift
188,pkl-swift-examples,Swift
189,pkl-vscode,TypeScript
190,pkl.tmbundle,
191,pytorch-speech-features,Python
192,rules_pkl,Starlark
193,sample-backyard-birds,Swift
194,sample-cloudkit-coredatasync,Swift
195,sample-cloudkit-encryption,Swift
196,sample-cloudkit-privatedb,Swift
197,sample-cloudkit-privatedb-sync,Swift
198,sample-cloudkit-queries,Swift
199,sample-cloudkit-sharing,Swift
200,sample-cloudkit-sync-engine,Swift
201,sample-cloudkit-tooling,JavaScript
202,sample-cloudkit-zonesharing,Swift
203,sample-food-truck,Swift
204,servicetalk,Java
205,swift-3-api-guidelines-review,Swift
206,swift-algorithms,Swift
207,swift-aoc-starter-example,Swift
208,swift-argument-parser,Swift
209,swift-asn1,Swift
210,swift-async-algorithms,Swift
211,swift-async-dns-resolver,Swift
212,swift-atomics,Swift
213,swift-cassandra-client,Swift
214,swift-certificates,Swift
215,swift-clang,C++
216,swift-clang-tools-extra,C++
217,swift-cluster-membership,Swift
218,swift-cmake-examples,CMake
219,swift-collections,Swift
220,swift-collections-benchmark,Swift
221,swift-compiler-rt,C
222,swift-corelibs-libdispatch,C
223,swift-crypto,C
224,swift-distributed-actors,Swift
225,swift-distributed-tracing,Swift
226,swift-distributed-tracing-baggage-core,Swift
227,swift-distributed-tracing-extras,Swift
228,swift-embedded-examples,Swift
229,swift-evolution-staging,Swift
230,swift-for-wasm-examples,Swift
231,swift-getting-started-cli,Swift
232,swift-getting-started-package-library,Swift
233,swift-homomorphic-encryption,Swift
234,swift-homomorphic-encryption-protobuf,
235,swift-http-structured-headers,Swift
236,swift-http-types,Swift
237,swift-internals,HTML
238,swift-issues,
239,swift-libcxx,C++
240,swift-llbuild2,Swift
241,swift-lldb,C++
242,swift-llvm,LLVM
243,swift-log,Swift
244,swift-matter-examples,Swift
245,swift-metrics,Swift
246,swift-metrics-extras,Swift
247,swift-migration-guide,Markdown
248,swift-mmio,Swift
249,swift-nio,Swift
250,swift-nio-examples,Swift
251,swift-nio-extras,Swift
252,swift-nio-http2,Swift
253,swift-nio-imap,Swift
254,swift-nio-nghttp2-support,Swift
255,swift-nio-oblivious-http,Swift
256,swift-nio-ssh,Swift
257,swift-nio-ssl,C
258,swift-nio-ssl-support,Swift
259,swift-nio-transport-services,Swift
260,swift-nio-zlib-support,Swift
261,swift-numerics,Swift
262,swift-openapi-generator,Swift
263,swift-openapi-runtime,Swift
264,swift-openapi-urlsession,Swift
265,swift-playdate-examples,Swift
266,swift-protobuf,Swift
267,swift-protobuf-plugin,
268,swift-protobuf-test-conformance,
269,swift-sample-distributed-actors-transport,Swift
270,swift-service-context,Swift
271,swift-service-discovery,Swift
272,swift-standard-library-preview,Swift
273,swift-statsd-client,Swift
274,swift-string-processing-benchmarks,Swift
275,swift-system,Swift
276,swift-tools-support-async,Swift
277,swift-xcode-playground-support,Swift
278,swiftpm-on-llbuild2,Swift
279,tensor-visualizer,Svelte
280,tensorflow_macos,Shell
281,ToolSandbox,Python
282,tree-sitter-pkl,C
283,turicreate,C++
284,unityplugins,C#
285,VideoFlashingReduction,Mathematica
286,vqg-multimodal-assistant,Python
